brand,model,model_type,price_euros,mileage,manual_automatic,year,fuel,power
Lynk & Co,01,1.5T PHEV,19790,78370,Automático,08/2022,Electro/Gasolina,192 kW (261 CV)
Citroen,C3,1.2 VTi Tonic,4950,166922,Manual,07/2013,Gasolina,60 kW (82 CV)
BMW,X7,xDrive 30dA,48900,144300,Automático,09/2019,Diésel,195 kW (265 CV)
Skoda,Kodiaq,2.0TDI Sportline 4x4 DSG 142kW,14400,253498,Automático,07/2017,Diésel,142 kW (193 CV)
Opel,Corsa,1.3CDTI Enjoy,1600,240000,Manual,04/2003,Diésel,51 kW (69 CV)
SEAT,Ibiza,1.0 TSI 81KW FR 5P,15600,15769,Manual,11/2023,Gasolina,81 kW (110 CV)
Lexus,LM,350h Luxury Modern Black 6pl.,118000,8000,Automático,06/2024,Electro/Gasolina,184 kW (250 CV)
Fiat,Ducato,Combi 35 3.0 Natural Power L2 136CV,16100,74628,Manual,08/2021,Gas licuado (GLP),100 kW (136 CV)
Lexus,NX 300,300h Executive 4WD Tecno + Navibox,16850,260000,Automático,03/2016,Electro/Gasolina,145 kW (197 CV)
Mercedes-Benz,GLB 200,d,27700,86792,Automático,02/2021,Diésel,110 kW (150 CV)
Audi,A4,2.0TDIe Advance Edition DPF 136,11490,172000,Manual,03/2012,Diésel,100 kW (136 CV)
Renault,Grand Scenic,1.6dCi Energy Dynamique 5pl.,4400,292000,Manual,03/2012,Diésel,96 kW (131 CV)
Mercedes-Benz,A 200,200d,15900,133000,Automático,06/2016,Diésel,100 kW (136 CV)
Hyundai,TUCSON,1.6 CRDI Klass 4x2,13490,214000,Manual,10/2021,Diésel,85 kW (116 CV)
Peugeot,Rifter,1.5BlueHDi S&S Standard Access 100,9490,190000,Manual,06/2019,Diésel,73 kW (99 CV)
MINI,Cooper,SE,21900,11000,Automático,01/2024,Electro/Gasolina,135 kW (184 CV)
Mitsubishi,Outlander,PHEV Kaiteki 4WD,14990,151000,Automático,08/2016,Electro/Gasolina,149 kW (203 CV)
Volkswagen,Arteon,2.0TDI 110kW,19790,125000,Manual,03/2019,Diésel,110 kW (150 CV)
Citroen,C8,2.2HDi 16v Premier II,5800,156545,Manual,08/2005,Diésel,96 kW (131 CV)
Mercedes-Benz,GLC 220,Coupé 220d 4Matic 9G-Tronic,37900,106714,Automático,11/2020,Diésel,143 kW (194 CV)
Nissan,Qashqai,1.5dCi Acenta 4x2 85kW,15830,87443,Manual,12/2019,Diésel,85 kW (116 CV)
Citroen,C3,1.2 PureTech S&S Feel 83,7904,80899,Manual,07/2019,Gasolina,60 kW (82 CV)
Mercedes-Benz,GLA 250,250e,30990,68000,Automático,12/2020,Electro/Gasolina,160 kW (218 CV)
